City,Product line,Quantity
Mandalay,Electronic accessories,316
Mandalay,Fashion accessories,297
Mandalay,Food and beverages,270
Mandalay,Health and beauty,320
Mandalay,Home and lifestyle,295
Mandalay,Sports and travel,322
Naypyitaw,Electronic accessories,333
Naypyitaw,Fashion accessories,342
Naypyitaw,Food and beverages,369
Naypyitaw,Health and beauty,277
Naypyitaw,Home and lifestyle,245
Naypyitaw,Sports and travel,265
Yangon,Electronic accessories,322
Yangon,Fashion accessories,263
Yangon,Food and beverages,313
Yangon,Health and beauty,257
Yangon,Home and lifestyle,371
Yangon,Sports and travel,333
